s0_avg_latency,s0_arrival_rate,s0_departure_rate,s0_avg_throughput,s0_avg_queue_size,s0_avg_threads,s1_avg_latency,s1_arrival_rate,s1_departure_rate,s1_avg_throughput,s1_avg_queue_size,s1_avg_threads,s2_avg_latency,s2_arrival_rate,s2_departure_rate,s2_avg_throughput,s2_avg_queue_size,s2_avg_threads,wf0_avg_e2e_latency,wf0_violation_rate,node0_avg_cpu_threads,node0_cpu_usage_pct,node1_avg_cpu_threads,node1_cpu_usage_pct,node2_avg_cpu_threads,node2_cpu_usage_pct
14.980204580120155,0.5125,0.475,1.3628571428571428,7.75,2.3125,3.2825030272185662,0.48125,0.47500000000000003,1.0457407407407409,1.25,2.25,1.4000000000000006,0.48125,0.48125,1.0251851851851852,0.5625,2.1875,14.980204580120155,0.5481150793650793,2.1676646706586826,54.191616766467064,1.341317365269461,33.532934131736525,0.6946107784431138,17.365269461077844
11.39762900869177,0.4052631578947368,0.3842105263157895,1.3020502645502645,5.368421052631579,1.894736842105263,4.031561579204407,0.39999999999999997,0.3842105263157895,1.1018518518518519,1.631578947368421,1.631578947368421,1.4246516107073286,0.38947368421052636,0.38421052631578945,1.0398148148148147,0.5263157894736842,2.263157894736842,11.39762900869177,0.518796992481203,2.22,55.50000000000001,1.14,28.499999999999996,0.555,13.875000000000002
15.068784354152092,0.48999999999999994,0.37,1.5745614035087718,8.15,1.8,3.140798684081479,0.375,0.37,1.0541666666666667,1.15,1.95,1.409062537031676,0.375,0.375,1.0125000000000002,0.45,1.9,15.326955897266394,0.6339285714285714,1.671497584541063,41.78743961352657,1.0338164251207729,25.845410628019323,0.5072463768115942,12.681159420289855
15.695585182122427,0.5733333333333335,0.5266666666666667,1.706084656084656,9.8,2.2666666666666666,4.1232278801912,0.5333333333333333,0.5266666666666667,1.0587301587301587,2.2,1.8666666666666667,1.4000000000000028,0.5333333333333334,0.5266666666666667,1.0404761904761906,0.6,1.5333333333333334,15.695585182122427,0.7611111111111111,2.9139072847682117,72.84768211920529,1.4768211920529801,36.920529801324506,0.7483443708609272,18.70860927152318
9.538169176362125,0.42105263157894735,0.41052631578947363,1.4125661375661376,4.684210526315789,2.3157894736842106,4.0978622742407556,0.41578947368421054,0.4105263157894737,1.1230576441102755,1.736842105263158,2.1052631578947367,1.3288103451088171,0.4157894736842105,0.4105263157894737,0.9807017543859649,0.5789473684210527,2.263157894736842,10.088418479527586,0.5245614035087719,2.255,56.375,1.135,28.375,0.545,13.625000000000002
7.925226352218478,0.461111111111111,0.4333333333333333,1.3104497354497355,3.888888888888889,2.611111111111111,3.096660863017979,0.44999999999999996,0.43333333333333335,1.094047619047619,1.3888888888888888,2.4444444444444446,1.470498343327958,0.45000000000000007,0.43888888888888894,1.0384920634920634,0.5555555555555556,2.4444444444444446,7.925226352218478,0.32175925925925924,2.027624309392265,50.690607734806626,1.3093922651933703,32.73480662983425,0.6132596685082873,15.331491712707182
7.7103536170710525,0.4647058823529411,0.44705882352941173,1.2689075630252102,3.823529411764706,2.2941176470588234,3.5088566858674626,0.45882352941176474,0.44705882352941173,1.1138655462184872,1.4705882352941178,2.2941176470588234,1.5584968178682224,0.45882352941176474,0.4529411764705882,1.0309523809523808,0.7058823529411765,2.0,7.7103536170710525,0.43564425770308124,2.2342857142857144,55.85714285714286,1.3771428571428572,34.42857142857143,0.6342857142857142,15.857142857142856
6.607644374272032,0.46470588235294114,0.4529411764705882,1.1387254901960784,2.8823529411764706,2.7058823529411766,3.08014417024148,0.4647058823529412,0.45882352941176463,1.0308823529411764,1.3529411764705883,2.8823529411764706,1.4536146750618877,0.46470588235294114,0.45882352941176463,1.0348972922502335,0.7058823529411765,2.588235294117647,6.607644374272032,0.28137254901960784,1.9722222222222223,49.30555555555556,1.2833333333333334,32.083333333333336,0.6388888888888888,15.972222222222221
17.572891535481126,0.4315789473684211,0.41052631578947374,1.6776234567901236,8.368421052631579,1.5789473684210527,2.9343415229812897,0.42105263157894735,0.4105263157894737,1.0709273182957393,1.4210526315789473,2.473684210526316,1.4738158914616355,0.42105263157894735,0.41578947368421054,1.0461722488038276,0.631578947368421,2.3157894736842106,18.14397798876872,0.7476608187134502,1.837696335078534,45.94240837696335,1.225130890052356,30.628272251308903,0.5863874345549738,14.659685863874344
16.27556599749712,0.4526315789473684,0.4052631578947368,1.3348997493734334,7.473684210526316,1.4210526315789473,3.1535003307322227,0.41578947368421054,0.4052631578947368,1.0552631578947367,1.368421052631579,1.6842105263157894,1.4234377362157389,0.4105263157894737,0.41052631578947374,1.0289473684210524,0.631578947368421,2.0,16.27556599749712,0.6807017543859649,1.927461139896373,48.18652849740933,1.150259067357513,28.756476683937827,0.5751295336787565,14.378238341968913
6.773953700196932,0.49374999999999997,0.46875,1.2277033730158728,3.75,2.8125,3.381620118454396,0.4875,0.475,1.0934027777777777,1.8125,2.6875,1.400000000000003,0.48750000000000004,0.47500000000000003,1.078125,0.8125,2.375,6.773953700196932,0.30183531746031744,2.2941176470588234,57.35294117647059,1.3235294117647058,33.088235294117645,0.6647058823529411,16.61764705882353
7.631619880132814,0.5642857142857143,0.5214285714285715,1.2318027210884352,4.928571428571429,2.642857142857143,3.5048441554292498,0.5357142857142857,0.5214285714285715,1.108248299319728,1.9285714285714286,2.142857142857143,1.837244284328995,0.5357142857142857,0.5285714285714285,1.0601190476190474,1.1428571428571428,2.0714285714285716,7.631619880132814,0.3034013605442177,2.6711409395973154,66.77852348993288,1.7651006711409396,44.12751677852349,0.7651006711409396,19.12751677852349
10.36257127988958,0.43500000000000005,0.37,1.531829573934837,5.7,2.0,2.882951369886444,0.385,0.37,1.139047619047619,0.95,2.2,1.4000000000000032,0.375,0.37500000000000006,1.0720238095238097,0.45,2.55,11.61286387370183,0.4541666666666667,1.6971153846153846,42.42788461538461,1.0480769230769231,26.201923076923077,0.5240384615384616,13.100961538461538
9.607238725356805,0.44210526315789467,0.3894736842105263,1.2824561403508772,4.7894736842105265,2.473684210526316,3.2331953162086697,0.4052631578947368,0.38947368421052636,1.1253759398496241,1.368421052631579,2.3157894736842106,1.5022970036633068,0.39473684210526316,0.38947368421052636,1.0640350877192981,0.7894736842105263,2.0,10.14097421009885,0.3854636591478697,2.0,50.0,1.2081218274111676,30.20304568527919,0.5634517766497462,14.086294416243655
17.676633816298022,0.5375000000000001,0.44375,1.7163938492063493,11.1875,2.6875,3.7023709888735006,0.46249999999999997,0.44375,1.1223958333333335,1.6875,2.4375,1.569749278516461,0.45625000000000004,0.44999999999999996,1.0344494047619048,0.625,2.3125,17.676633816298022,0.5677083333333333,2.461077844311377,61.52694610778443,1.4491017964071857,36.227544910179645,0.6347305389221557,15.868263473053892
10.581978329816543,0.5058823529411764,0.4529411764705883,1.4918534080298784,4.823529411764706,2.235294117647059,2.9571752534578586,0.46470588235294114,0.45882352941176474,1.0912698412698414,1.1176470588235294,2.823529411764706,1.40319455878765,0.4647058823529412,0.4588235294117647,1.0794117647058825,0.5882352941176471,3.0588235294117645,10.581978329816543,0.5224089635854342,1.9826589595375723,49.566473988439306,1.2890173410404624,32.22543352601156,0.6473988439306358,16.184971098265898
11.373842263800885,0.5,0.475,1.516344246031746,6.3125,2.375,3.118570553193475,0.48124999999999996,0.475,1.1116071428571428,1.5,2.625,1.4137582826768824,0.48125000000000007,0.48124999999999996,1.034548611111111,0.6875,1.375,11.373842263800885,0.5103670634920635,2.143712574850299,53.59281437125748,1.347305389221557,33.68263473053892,0.688622754491018,17.21556886227545
31.65107558751688,0.68,0.47333333333333333,1.7497619047619046,25.4,1.7333333333333334,3.0460293443345705,0.5,0.48666666666666664,1.0722222222222222,1.5333333333333334,2.3333333333333335,1.3999999999999992,0.4933333333333334,0.48666666666666664,1.0477777777777777,0.6666666666666666,2.4,31.65107558751688,0.825,2.220779220779221,55.519480519480524,1.4090909090909092,35.22727272727273,0.6948051948051948,17.37012987012987
8.193345691448238,0.5400000000000001,0.5266666666666667,1.3660052910052911,4.666666666666667,2.6,3.4382956413968304,0.5400000000000001,0.5333333333333333,1.0810052910052912,1.7333333333333334,2.2666666666666666,1.5109879447288923,0.5400000000000001,0.5333333333333334,1.0656349206349207,0.9333333333333333,2.3333333333333335,8.193345691448238,0.46555555555555556,2.486842105263158,62.17105263157895,1.5263157894736843,38.15789473684211,0.7828947368421053,19.572368421052634
14.24189926875182,0.5785714285714285,0.5428571428571429,1.4766156462585036,8.571428571428571,2.642857142857143,3.266116632312948,0.5642857142857144,0.5428571428571429,1.101190476190476,2.2142857142857144,2.142857142857143,1.4000000000000004,0.5642857142857143,0.55,1.0746031746031746,0.9285714285714286,2.5714285714285716,14.24189926875182,0.8382086167800454,2.7132867132867133,67.83216783216784,1.5734265734265733,39.33566433566433,0.7832167832167832,19.58041958041958
10.03767732270503,0.43333333333333335,0.4277777777777778,1.2309523809523812,4.0,2.2777777777777777,3.4068766104047534,0.43333333333333335,0.4277777777777778,1.0521825396825397,1.3333333333333333,1.8888888888888888,1.4135596435278952,0.43333333333333335,0.43333333333333335,1.036904761904762,0.5555555555555556,2.388888888888889,10.03767732270503,0.587169312169312,1.9789473684210526,49.473684210526315,1.1894736842105262,29.736842105263158,0.5894736842105263,14.736842105263156
8.331784879478812,0.4526315789473684,0.3842105263157895,1.5349867724867725,4.368421052631579,3.0526315789473686,4.152499558499081,0.4052631578947368,0.3842105263157894,1.2031746031746031,1.8421052631578947,2.210526315789474,1.4314244505223135,0.38947368421052636,0.38947368421052636,1.0426065162907268,0.631578947368421,2.4210526315789473,8.114322517400982,0.3984335839598997,2.323232323232323,58.080808080808076,1.1313131313131313,28.28282828282828,0.5656565656565656,14.14141414141414
26.937110688367824,0.5,0.4470588235294118,1.3243697478991596,14.764705882352942,3.0588235294117645,5.958269694598242,0.47058823529411764,0.4529411764705882,1.068627450980392,2.4705882352941178,1.3529411764705883,1.3999999999999961,0.45882352941176474,0.4529411764705883,1.0280112044817926,0.5882352941176471,3.1176470588235294,26.937110688367824,0.8205882352941176,3.260115606936416,81.5028901734104,1.277456647398844,31.9364161849711,0.6473988439306358,16.184971098265898
11.632154524279,0.385,0.365,1.5537037037037036,5.2,2.85,4.132246628198414,0.38000000000000006,0.37,1.2430555555555558,1.8,1.8,1.4065868431217907,0.375,0.37,1.0877192982456139,0.55,1.85,11.364753700956031,0.5183333333333333,2.2523809523809524,56.30952380952381,1.0523809523809524,26.30952380952381,0.5380952380952381,13.452380952380953
9.925812003283816,0.5,0.4647058823529412,1.290327380952381,6.117647058823529,1.7647058823529411,3.1802655958603996,0.4764705882352941,0.4647058823529412,1.089075630252101,1.7058823529411764,2.411764705882353,1.430849186041213,0.47058823529411764,0.4647058823529412,1.0147058823529411,0.6470588235294118,1.7058823529411764,10.834612805471988,0.5362745098039216,2.2222222222222223,55.55555555555556,1.3157894736842106,32.89473684210527,0.672514619883041,16.812865497076025
28.855487891165662,0.4944444444444446,0.39444444444444443,1.4901455026455026,16.38888888888889,2.3333333333333335,5.017142527187502,0.4055555555555556,0.3944444444444445,1.0740740740740742,2.0555555555555554,1.2222222222222223,1.3999999999999975,0.4055555555555556,0.39999999999999997,1.0509259259259258,0.6111111111111112,2.3333333333333335,28.855487891165662,0.8333333333333334,2.5238095238095237,63.095238095238095,1.1587301587301588,28.968253968253972,0.5873015873015873,14.682539682539684
8.457689607268145,0.4263157894736842,0.4052631578947368,1.1979949874686717,3.9473684210526314,2.263157894736842,3.4445912299342383,0.42631578947368426,0.4105263157894737,1.1008771929824561,1.3157894736842106,2.4210526315789473,1.410620878877027,0.41578947368421054,0.4157894736842105,1.0464912280701755,0.5263157894736842,2.526315789473684,8.457689607268145,0.44674185463659144,2.0052083333333335,50.130208333333336,1.1666666666666667,29.166666666666668,0.5833333333333334,14.583333333333334
11.28439746358224,0.44705882352941184,0.4294117647058824,1.2710084033613445,5.352941176470588,2.588235294117647,2.8559424628704053,0.44705882352941173,0.4294117647058824,1.1064425770308124,1.411764705882353,2.5294117647058822,1.4000000000000032,0.4411764705882353,0.43529411764705883,1.0313725490196077,0.5882352941176471,3.176470588235294,11.28439746358224,0.48085901027077493,1.949438202247191,48.735955056179776,1.2640449438202248,31.60112359550562,0.6179775280898876,15.44943820224719
25.150273670187843,0.4444444444444444,0.4333333333333333,1.4873015873015873,13.166666666666666,2.1666666666666665,2.956723646805871,0.4444444444444444,0.4388888888888889,1.0842813051146385,1.3333333333333333,2.0,1.4899883171514,0.4388888888888889,0.4388888888888889,1.075108225108225,0.7222222222222222,2.888888888888889,25.150273670187843,0.7685185185185185,1.9505494505494505,48.76373626373626,1.2692307692307692,31.73076923076923,0.6318681318681318,15.796703296703296
7.122547126822162,0.431578947368421,0.4157894736842105,1.3414021164021164,3.263157894736842,2.6315789473684212,3.0749898215217684,0.42105263157894735,0.41578947368421054,1.0597326649958227,1.0,2.1578947368421053,1.4000000000000032,0.42105263157894735,0.42105263157894735,1.0022556390977442,0.42105263157894735,2.4210526315789473,6.995710704956876,0.2305764411027569,1.87434554973822,46.8586387434555,1.162303664921466,29.05759162303665,0.5863874345549738,14.659685863874344
13.026811043020508,0.5,0.48124999999999996,1.380952380952381,6.5625,2.125,2.875763267697314,0.49375,0.48750000000000004,1.0793154761904762,1.5625,3.0625,1.467885875410758,0.49375,0.48750000000000004,1.0317708333333333,0.75,3.0625,13.026811043020508,0.5419642857142857,2.1036585365853657,52.59146341463414,1.4024390243902438,35.0609756097561,0.7073170731707317,17.682926829268293
8.712779568363024,0.51875,0.5,1.2713045634920634,4.75,2.5625,3.418339399626875,0.49999999999999994,0.5,1.01875,1.75,2.5,1.422185518271819,0.5,0.5,0.9817708333333333,0.6875,2.625,8.712779568363024,0.37596726190476193,2.422360248447205,60.55900621118012,1.4099378881987579,35.24844720496895,0.7018633540372671,17.546583850931675
32.983779743935756,0.47777777777777775,0.4,1.4616402116402116,18.5,1.4444444444444444,5.682983004945587,0.4166666666666667,0.4000000000000001,1.0879629629629628,2.388888888888889,1.3888888888888888,1.3999999999999952,0.41111111111111115,0.40555555555555556,1.0416666666666667,0.5555555555555556,2.0555555555555554,34.92400208181433,0.8333333333333334,2.9735449735449735,74.33862433862434,1.1746031746031746,29.365079365079367,0.582010582010582,14.550264550264549
13.30763682926326,0.6076923076923076,0.5615384615384615,1.321947496947497,8.692307692307692,2.076923076923077,3.537767176848391,0.5923076923076923,0.5692307692307692,1.0726495726495726,1.9230769230769231,2.769230769230769,1.4000000000000021,0.5769230769230769,0.5692307692307692,1.0245726495726495,0.7692307692307693,3.3846153846153846,13.30763682926326,0.7081196581196582,2.835714285714286,70.89285714285715,1.6285714285714286,40.714285714285715,0.8142857142857143,20.357142857142858
6.96668313300637,0.4875,0.48125000000000007,1.183531746031746,3.75,2.75,2.90142119516777,0.48125,0.48124999999999996,1.0473214285714285,1.25,2.9375,1.400000000000003,0.48125,0.48125,1.007390873015873,0.5,2.875,6.96668313300637,0.2916666666666667,2.0963855421686746,52.40963855421686,1.355421686746988,33.8855421686747,0.6566265060240963,16.415662650602407
9.941821388329895,0.52,0.4866666666666667,1.3585034013605441,5.6,2.933333333333333,3.838596929626354,0.5133333333333333,0.5,1.1555555555555554,2.1333333333333333,1.7333333333333334,1.4000000000000028,0.49999999999999994,0.5,1.043809523809524,0.6,2.933333333333333,10.069970557398992,0.4884920634920634,2.742138364779874,68.55345911949685,1.4025157232704402,35.062893081761004,0.7169811320754716,17.92452830188679
6.356694459057216,0.41052631578947374,0.4052631578947369,1.422128851540616,2.9473684210526314,2.6842105263157894,2.833873649341273,0.41052631578947363,0.41052631578947374,1.0871031746031745,1.105263157894737,2.6315789473684212,1.4591988115084666,0.41052631578947374,0.4105263157894738,1.0032581453634086,0.47368421052631576,3.263157894736842,6.4456072564114555,0.262593984962406,1.7208121827411167,43.02030456852792,1.16751269035533,29.187817258883246,0.5634517766497462,14.086294416243655
16.52067400572374,0.43333333333333335,0.42222222222222217,1.376763668430335,7.444444444444445,2.2222222222222223,3.496213412417403,0.4277777777777778,0.4222222222222223,1.1091269841269842,1.6666666666666667,2.2222222222222223,1.455092592592594,0.4277777777777778,0.4277777777777778,1.0742945326278661,0.6666666666666666,3.0,16.52067400572374,0.6600529100529101,2.1818181818181817,54.54545454545454,1.2513368983957218,31.283422459893046,0.5828877005347594,14.572192513368984
5.7358720692504805,0.47058823529411764,0.4411764705882353,1.230952380952381,3.1176470588235294,3.0,3.425793370873744,0.45294117647058824,0.4411764705882353,1.1044817927170867,2.0,2.2941176470588234,1.4295443209634477,0.4529411764705882,0.44705882352941173,1.1009803921568628,0.5882352941176471,2.4705882352941178,5.7358720692504805,0.19019607843137254,2.2203389830508473,55.50847457627118,1.2994350282485876,32.48587570621469,0.6384180790960452,15.96045197740113
7.666736971054786,0.5,0.47500000000000003,1.1080357142857142,3.5,2.0,3.0909141130201343,0.48125000000000007,0.475,1.0416666666666665,1.4375,2.75,1.422134580502939,0.48125000000000007,0.48125,1.0348958333333333,0.625,2.125,7.666736971054786,0.38080357142857146,2.070588235294118,51.76470588235295,1.3235294117647058,33.088235294117645,0.6176470588235294,15.441176470588236
6.9348459224958905,0.52,0.5000000000000001,1.2985714285714287,4.2,3.066666666666667,3.7013511362261813,0.52,0.5066666666666667,1.0623015873015873,1.8666666666666667,2.466666666666667,1.451074363282501,0.52,0.5066666666666667,1.0849206349206348,0.6,3.2666666666666666,6.9348459224958905,0.3244444444444445,2.632258064516129,65.80645161290323,1.5032258064516129,37.58064516129032,0.7161290322580646,17.903225806451616
9.020930356496148,0.49375,0.4875,1.2429315476190477,5.0625,2.75,3.3395758008319465,0.49374999999999997,0.4875,1.034375,1.8125,2.8125,1.839991523008897,0.49374999999999997,0.49374999999999997,1.0238839285714287,0.875,1.6875,9.020930356496148,0.4441964285714286,2.3392857142857144,58.48214285714286,1.6071428571428572,40.17857142857143,0.6666666666666666,16.666666666666664
18.104698564726043,0.5599999999999999,0.4733333333333333,1.172222222222222,11.866666666666667,2.4,3.1933793621336073,0.5000000000000001,0.4799999999999999,0.995,1.8,2.066666666666667,1.4090030213207732,0.48666666666666664,0.48666666666666664,1.0369312169312168,0.6666666666666666,2.466666666666667,19.39789131934933,0.6266666666666667,2.43312101910828,60.828025477707,1.4076433121019107,35.19108280254777,0.7197452229299363,17.993630573248407
11.519752370162086,0.45882352941176474,0.44705882352941173,1.1613445378151261,5.647058823529412,2.1176470588235294,3.481352570053798,0.4529411764705883,0.4470588235294118,1.0372549019607842,1.4705882352941178,2.4705882352941178,1.4141115820784553,0.45294117647058824,0.4470588235294118,1.0196078431372548,0.5882352941176471,2.6470588235294117,11.519752370162086,0.5641456582633053,2.184357541899441,54.608938547486034,1.2458100558659218,31.145251396648042,0.6256983240223464,15.64245810055866
